,"﻿""sno""",sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
0,500201001,YouBike2.0_下庄市場,16,1,八里區,20231118113914,25.14678,121.3999,舊城路21號(前),Bali Dist,YouBike2.0_Shia Juang Market,"No.21, Jiucheng Rd., Bali Dist",15,1
1,500201002,YouBike2.0_八里行政中心,16,2,八里區,20231118113914,25.15397,121.40721,十三行路(靠中山路二段路口西南側人行道),Bali Dist,YouBike2.0_Bali District Center,Shisanhang Rd. & Zhongshan Rd. Intersection (Southwest),14,1
2,500201003,YouBike2.0_八里中庄市場綜合大樓,28,1,八里區,20231118113914,25.15993,121.41407,中山路一段268巷2號(對面汽車停車場),Bali Dist,YouBike2.0_Bali Chung Chuang Market Multi-Purpose Building,"No. 2, Ln. 268, Sec. 1, Zhongshan Rd., Bali Dist.",27,1
3,500201004,YouBike2.0_大崁國小,16,1,八里區,20231118113914,25.16064,121.41938,忠八街2號(前),Bali Dist,YouBike2.0_DaKan Elementary School,"No. 2, Zhong 8th St., Bali Dist.",15,1
4,500201005,YouBike2.0_龍米停車場,32,4,八里區,20231118113914,25.15678,121.43604,龍米路二段150號(旁),Bali Dist,YouBike2.0_Longmi Parking Lot,"No. 150, Sec. 2, Longmi Rd.",28,1
5,500201006,YouBike2.0_龍形停車場,20,5,八里區,20231118113914,25.13041,121.4513,龍米路一段318號(對面停車場),Bali Dist,YouBike2.0_Long Xing Parking Tower,"No. 318, Sec 1, Longmi Rd.(Opposite)",15,1
6,500201007,YouBike2.0_十三行博物館,32,10,八里區,20231118113914,25.157,121.406,博物館路183號(對面),Bali Dist,YouBike2.0_Shihsanhang Museum of Archaeology,"No. 183, Museum Rd., Bali Dist.(opposite)",22,1
7,500201008,YouBike2.0_八里區民活動中心,14,14,八里區,20231118113914,25.14933,121.40126,中山路二段356巷12號(旁),Bali Dist,YouBike2.0_Bali Activity Center,"No. 12, Ln. 356, Sec. 2, Zhongshan Rd.",0,1
8,500201009,YouBike2.0_挖仔尾自然生態保留區,15,0,八里區,20231118113914,25.16419,121.41586,博物館路/挖仔尾街口(西側),Bali Dist,YouBike2.0_Waziwei Ecological Reserves,Museum Rd. & Waziwei St. Intersection(West),15,1
9,500201010,YouBike2.0_文昌公園,15,5,八里區,20231118113914,25.15709,121.41033,中山路二段/文昌路(東側),Bali Dist,YouBike2.0_Wenchang Park,"Sec. 2, Zhongshan Rd. & Wenchang Rd.(East)",10,1
10,500201011,YouBike2.0_八里國小,15,3,八里區,20231118113914,25.14896,121.4026,中山路二段251號(對面),Bali Dist,YouBike2.0_Bali Elementary School,"No. 251, Sec. 2, Zhongshan Rd.(Opposite)",12,1
11,500201012,YouBike2.0_八里文化公園(棒球場),30,1,八里區,20231118113914,25.16359,121.41251,忠孝路與挖仔街口(棒球場公園入口),Bali Dist,YouBike2.0_Bali Wenhua Park,Zhongxiao & Waziwei street entrance (baseball park),29,1
12,500201013,YouBike2.0_水興公,15,2,八里區,20231118113914,25.16208,121.42509,觀海大道/忠四街(北側),Bali Dist,YouBike2.0_Shuixinggong,Guanhai Blvd. & Zhong 4th St. (North west),13,1
13,500201014,YouBike2.0_片仔溝公園,20,4,八里區,20231118113914,25.15020,121.40581,中華路二段210號旁,Bali Dist,YouBike2.0_Pianzaigou Park,"No. 210, Sec. 2, Zhonghua Rd. (Side)",16,1
14,500201015,YouBike2.0_八里福朋喜來登酒店,18,1,八里區,20231118113914,25.15922,121.42945,觀海大道8號,Bali Dist,YouBike2.0_Four Points by Sheraton Taipei Bali,"No. 8, Guanhai Blvd.",17,1
15,500201016,YouBike2.0_訊塘社區公園,13,2,八里區,20231118113914,25.14550,121.39609,商港路/中山路二段口(東北側),Bali Dist,YouBike2.0_Xuntang Community Park,"Shanggang Rd. & Sec. 2, Zhongshan Rd. (Northeast)",9,1
16,500201017,YouBike2.0_商港公園(商港八商港一路口),15,7,八里區,20231118113914,25.15039,121.40026,商港八路/商港一路口,Bali Dist,YouBike2.0_Bali ShangGang Park (Shanggang 8th Rd. Intersection),Shanggang 8th Rd. & Shanggang 1st Rd. Intersection,8,1
17,500201018,YouBike2.0_商港公園(商港七商港一路口),15,1,八里區,20231118113914,25.14916,121.39841,商港七路/商港一路口,Bali Dist,YouBike2.0_Bali ShangGang Park (Shanggang 7th Rd. Intersection),Shanggang 7th Rd. & Shanggang 1st Rd. Intersection,14,1
18,500202001,YouBike2.0_淺水灣,48,10,三芝區,20231118113914,25.25232,121.47131,北勢子42-11號西側,Sanzhi Dist,YouBike2.0_Qianshui Bay,"No. 42-11, Beishizi, Sanzhi Dist.(opposite)",38,1
19,500202002,YouBike2.0_三芝國中,14,6,三芝區,20231118113914,25.25898,121.50182,淡金路一段38號,Sanzhi Dist,YouBike2.0_Sanzhi Junior High School,"No. 38, Sec. 1, Danjin Rd.",8,1
20,500202003,YouBike2.0_櫻花水車公園,15,0,三芝區,20231118113914,25.25119,121.50125,埔頭里埔頭11-5號南側,Sanzhi Dist,YouBike2.0_Yinghua Park,"No. 11-5, Putou, Putou Village(South)",15,1
21,500202004,YouBike2.0_三芝兒一公園,15,0,三芝區,20231118113914,25.25719,121.4994,長安街79號西側,Sanzhi Dist,YouBike2.0_Sanzhi Children Park (No.1),"No. 79, Chang'an St.(West)",15,1
22,500203001,YouBike2.0_重新重安街口,23,13,三重區,20231118113914,25.05844,121.48975,重安街1號(旁),Sanchong Dist,YouBike2.0_Chongxin Rd. & Zhongan St. Intersection,"No. 1, Zhongan St.",10,1
